VIDEOID,PUBLISHEDAT,TITLE,TAGS,VIEWCOUNT,LIKECOUNT,COMMENTCOUNT,CONTENTDETAILS,CATEGORYID,VIDEO_TIME,PUBLISHED_PERIOD,YEAR_MONTH,DAY_OF_WEEK_NAME,DAY_OF_WEEK_NUMBER,CATEGORY_TITLE
fvcGMyLqeKA,2024-12-08 18:17:41,PONOWNE OTWARCIE KATEDRY NOTRE DAME - PONOWNYM OTWARCIEM GABINETU DONALDA TRUMPA,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'joanna pinkwart', 'pinkwart', 'kanał zero usa', 'amerykańskie zero', 'stany zjednoczone', 'donald trump', 'donald trump paryż', 'wołodymyr zełeński', 'zełeński', 'ukraina', 'francja', 'stany zjednoczone ukraina', 'usa ukraina', 'kanał zero polityka', 'polityka', 'elon musk', 'musk trump', 'trump', 'trump francja', 'trump zełeński', 'zełeński francja', 'wojna ukraina', 'rosja']",175160,7693,554,PT9M29S,22,9.48,Evening,2024-12,Sunday,6,People & Blogs
lHBUwdfqCYc,2024-12-17 17:30:11,IGOR KIRYŁŁOW ZABITY W CENTRUM MOSKWY. KTO ODPOWIADA ZA ZAMACH: UKRAIŃCY CZY… KREML?,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'maria stepan', 'rosja', 'kanał zero rosja', 'ukraina', 'Igor Kiryłłow', 'kiryłłow', 'generał rosyjski', 'rosyjski generał nie żyje', 'rosja wojsko', 'rosja generał', 'kanał zero rosja generał', 'wojna', 'wojna rosja ukraina', 'ukraina wojna', 'ukraina wojna rosja', 'kanał zero ukraina', 'kreml', 'putin', 'kanał zero putin', 'rosja kanał zero', 'polityka kanał zero', 'polityka']",160993,5878,609,PT11M13S,22,11.22,Afternoon,2024-12,Tuesday,1,People & Blogs
zOoBGxO3dCw,2024-12-21 12:54:22,TRAGEDIA W MAGDEBURGU. KILKADZIESIĄT OSÓB RANNYCH. JAK WPŁYNIE TO NA WYBORY W NIEMCZECH?,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'jarmark', 'niemcy jarmark', 'arleta bojke', 'bojke', 'kanał zero niemcy', 'niemcy jarmark zdarzenie', 'jarmark w magdeburgu', 'magdeburg', 'magdeburg jarmark', 'jarmark magdeburg kierowca', 'samochód', 'niemcy samochód jarmark', 'kierowca jarmark', 'kierowca jarmark magdeburg', 'magdeburg jarmark 2024', 'kanał zero jarmark', 'kanał zero jarmark niemcy']",264376,9235,2255,PT12M47S,22,12.78,Afternoon,2024-12,Saturday,5,People & Blogs
hHQygBk0Ad8,2024-12-14 14:00:44,"KATASTROFA PROMU CHALLENGER 1986. NASA WIEDZIAŁA O RYZYKU, ALE ZIGNOROWAŁA JE | NAUKOWE ZERO #47","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'engima', 'katastrofa', 'kosmos', 'usa', 'challenger', 'śmierć', 'kosmonauci', 'prom', 'kosmiczny', 'nasa', 'lot', 'wahadłowiec', 'podbój', 'kosmosu', 'wirtualna', 'polska', 'telewizja', 'internetowa', 'video', 'rożek', 'naukowe zero', 'tomasz rożek', 'nauka', 'technika', 'katastrofa challengera', 'katastrofa challenger', 'astronauci', 'tomasz rożek kanał zero']",50257,2370,145,PT12M54S,22,12.9,Afternoon,2024-12,Saturday,5,People & Blogs
ODPW5nLAaQs,2024-12-18 09:56:04,WDARŁ SIĘ NIELEGALNIE DO POLSKI I DOSTAŁ 40 TYSIĘCY ZŁ. SZOKUJĄCY WYROK,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'waldemar stankiewicz', 'stankiewicz', 'imigranci', 'odszkodowanie dla imigranta', 'imigrant odszkodowanie', 'imigranci w polsce', 'kanał zero imigranci', 'imigranci kanał zero', 'imigranci polska', 'białoruś polska', 'białoruś granica', 'kanał zero białoruś', 'pushback imigranci', 'prawo imigranci', 'prawo polska', 'polska', 'straż graniczna', 'kanał zero granica']",95586,5043,1138,PT11M17S,22,11.28,Morning,2024-12,Wednesday,2,People & Blogs
