,VIDEOID,PUBLISHEDAT,TITLE,TAGS,VIEWCOUNT,LIKECOUNT,COMMENTCOUNT,CONTENTDETAILS,CATEGORYID,VIDEO_TIME,PUBLISHED_PERIOD,YEAR_MONTH,DAY_OF_WEEK_NAME,DAY_OF_WEEK_NUMBER,CATEGORY_TITLE
10,rh66vX_gbg4,2024-06-13 13:56:28,TUSK DOKRĘCI TERAZ ŚRUBĘ KOALICJANTOM - ROBERT MAZUREK KOMENTUJE,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'mazurek', 'robert mazurek', 'mazurek o tusku', 'polityka', 'donald tusk', 'premier tusk', 'koalicja obywatelska', 'commentary', 'robert mazurek kanał zero', 'mazurek zero', 'robert mazurek tusk', 'robert mazurek o tusku', 'tusk mazurek', 'mazurek tusk', 'robert mazurek commentary', 'mazurek komentuje', 'koalicja', 'koalicja tuska', 'premier donald tusk']",363498,16720,1479,PT16M38S,25,16.63,Afternoon,2024-06,Thursday,3,News & Politics
11,7WGO-vaE7gg,2024-07-31 16:32:42,"LIDERZY HAMASU I HEZBOLLAHU ZGINĘLI W ATAKACH IZRAELA, IRAN ZAPOWIADA ODWET","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'arleta bojke', 'bojke', 'bojke kanał zero', 'izrael', 'izrael wojna', 'izrael liban', 'liban', 'hezbollah', 'palestyna', 'strefa gazy', 'izrael hamas', 'hamas', 'Fuad Szukr', 'izarel liban', 'liban izrael', 'izrael liban wojna', 'wojna w izraelu', 'izarel wojna 2024', 'liban wojna', 'liban izarel', 'izrael wojna domowa', 'wojna w izarelu', 'izarel hamas', 'hamas izarel']",87094,3903,555,PT11M12S,25,11.2,Afternoon,2024-07,Wednesday,2,News & Politics
12,XXRAJKig0wY,2024-06-22 10:11:24,DUKAJ I RYMKIEWICZ USUNIĘCI Z LISTY LEKTUR I MNIEJ RELIGII W SZKOŁACH - ROBERT MAZUREK KOMENTUJE,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'robert mazurek', 'mazurek kanał zero', 'mazurek komentuje', 'barbara nowacka', 'nowacka', 'edukacja', 'szkolnictwo', 'reforma edukacja', 'szkoła', 'lektury', 'lektury szkolne', 'mazurek nowacka', 'polityka', 'religia w szkole', 'ministerstwo edukacji', 'nowacka barbara', 'nowacka prace domowe', 'prace domowe w szkole', 'prace domowe', 'uczniowe', 'prace domowe nowacka', 'dukaj']",289091,17157,2269,PT17M1S,25,17.02,Morning,2024-06,Saturday,5,News & Politics
13,OQritSjw54o,2024-07-22 14:38:18,JOE BIDEN ZREZYGNOWAŁ. KIM JEST KAMALA HARRIS? NA JAKICH WYBORCÓW LICZĄ DEMOKRACI?,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'dębski', 'sławomir dębski', 'dębski kanał zero', 'joe biden', 'kanał zero joe biden', 'kamala harris', 'demokraci', 'demokraci stany zjednoczone', 'kto za joe bidena', 'kandydat demokratów', 'kto jak nie joe biden', 'kandydaci na prezydenta usa', 'kandydad na prezydenta stany', 'stany zjednoczone', 'stany zjednoczone wybory', 'wybory w stanach 2024', 'joe biden reyzgnuje']",89235,3614,332,PT17M54S,25,17.9,Afternoon,2024-07,Monday,0,News & Politics
14,8pD9Ep1yMos,2024-07-16 19:18:37,AMERYKAŃSKI SEN KONTROWERSYJNEGO ŻÓŁTODZIOBA - JD VANCE KANDYDATEM DONALDA TRUMPA NA WICEPREZYDENTA,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'joanna pinkwart', 'kanał zero wybory stany zjednoczone', 'wybory usa', 'pinkwart usa', 'donald trump', 'jd vance', 'trump prezydent', 'prezydent usa', 'prezydent stany zjednoczone', 'wybory stany', 'wybory stany zjednoczone', 'wiceprezydent usa', 'wiceprezydent stany zjednoczone', 'republikanie', 'kanał zero donald trump', 'pinkwart trump', 'usa wybory 2024']",160545,5635,419,PT13M10S,25,13.17,Evening,2024-07,Tuesday,1,News & Politics
15,8pD9Ep1yMos,2024-07-16 19:18:37,AMERYKAŃSKI SEN KONTROWERSYJNEGO ŻÓŁTODZIOBA - JD VANCE KANDYDATEM DONALDA TRUMPA NA WICEPREZYDENTA,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'joanna pinkwart', 'kanał zero wybory stany zjednoczone', 'wybory usa', 'pinkwart usa', 'donald trump', 'jd vance', 'trump prezydent', 'prezydent usa', 'prezydent stany zjednoczone', 'wybory stany', 'wybory stany zjednoczone', 'wiceprezydent usa', 'wiceprezydent stany zjednoczone', 'republikanie', 'kanał zero donald trump', 'pinkwart trump', 'usa wybory 2024']",160545,5635,419,PT13M10S,25,13.17,Evening,2024-07,Tuesday,1,News & Politics
16,6lyqd7C-eig,2024-06-26 17:34:53,CPK WEDŁUG TUSKA. POLSKA BĘDZIE MEGALOPOLIS,"['kanał zero extra', 'kanal zero extra', 'kanal zero', 'Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'arleta bojke', 'commentary', 'donald tusk', 'tusk', 'tusk cpk', 'cpk', 'centralny port komunikacyjny', 'inwestycja', 'polityka', 'polska', 'cpk polska', 'platforma obywatelska', 'donald tusk cpk', 'cpk donald tusk', 'cpk tuska', 'cpk tusk', 'warszawa', 'gdańsk', 'wrocław', 'Łódź', 'Szczecin', 'linie kolejowe', 'linie kolejowe cpk', 'lotnisko cpk']",180077,7812,2009,PT16M59S,25,16.98,Afternoon,2024-06,Wednesday,2,News & Politics
17,ccqBMTa7vCo,2024-03-26 11:01:49,"DZIENNIKARSKIE ZERO #3: KOLEJNY ATAK WYBORCZEJ, KOLEJNA ORKA","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'stanowski wyborcza', 'stanowski gazeta wyborcza', 'dziennikarskie zero', 'dziennikarskie zero wyborcza', 'krzysztof stanowski gazeta wyborcza', 'zero kanal', 'krzysztof stanowski wybrocza', 'gazeta wyborcza stanowski', 'wyborcza stanowski', 'stanowski odpowiada wyborczej']",1161411,92551,9818,PT42M54S,22,42.9,Morning,2024-03,Tuesday,1,People & Blogs
18,sk6qQcc8uxY,2024-06-28 17:00:41,"""KROK W DOBRĄ STRONĘ, ALE NADAL NIE WSZYSTKO TRZYMA SIĘ KUPY"" | CENTRALNY PROGRAM KOMUNIKACYJNY #4","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'zero', 'stanowski', 'kanal', 'polityka', 'cpk', 'Centralny Port Komunikacyjny', 'Dlaczego powinniśmy zbudować CPK', 'HUB', 'lotniska europejskie', 'tusk', 'koalicja obywatelska', 'maciej wilk kanal zero', 'maciej wilk', 'maciej wilk cpk', 'wilk cpk', 'cpk w polsce', 'wilk o cpk', 'maciej wilk o cpk', 'cpk kanal zero', 'budowa cpk', 'centralny port komunikacyjny w polsce', 'lotnisko chopina', 'baranów']",171658,13477,1525,PT21M10S,22,21.17,Afternoon,2024-06,Friday,4,People & Blogs
19,s7YYk6aLmaI,2024-07-21 08:00:07,"TRZECIE ŚNIADANIE #25 - MELLER, WRÓBLEWSKI, DANIELEWSKI, LISICKI, WIŚNIEWSKA","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'marcin meller', 'agnieszka wiśniewska', 'tomasz wróblewski', 'paweł lisicki', 'michał danielewski', 'polityka', 'oko press', 'krytyka polityczna', 'Warsaw Enerprise Institute', 'do rzeczy', 'trzecie śniadanie', 'marcin meller kanał zero', 'kanał zero polityka', 'kanał zero wiśniewska', 'kanał zero wróblewski', 'pałac rozalin', 'kanał zero trzecie śniadanie']",72034,2263,898,PT1H48M27S,22,108.45,Morning,2024-07,Sunday,6,People & Blogs
