,VIDEOID,PUBLISHEDAT,TITLE,TAGS,VIEWCOUNT,LIKECOUNT,COMMENTCOUNT,CONTENTDETAILS,CATEGORYID,VIDEO_TIME,PUBLISHED_PERIOD,YEAR_MONTH,DAY_OF_WEEK_NAME,DAY_OF_WEEK_NUMBER,CATEGORY_TITLE
31,e3oEMbaZePc,2024-06-12 08:00:32,STANOWSKI: OSIEM WNIOSKÓW PO WYBORACH,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'stanowisko', 'stanowisko kanał zero', 'kanał zero stanowisko', 'kanał zero wybory', 'kanał zero eurowybory', 'unia europejska', 'wybory unia europejska', 'stanowski polityka', 'polityka', 'wybory do europarlamentu', 'stanowski komentuje', 'krzysztof stanowski wybory', 'pis', 'po', 'ko', 'konfederacja', 'lewica', 'psl', 'wybory 2024', '2024']",519681,24987,2733,PT12M36S,22,12.6,Morning,2024-06,Wednesday,2,People & Blogs
32,dinypBfwsWM,2024-07-25 18:33:17,POŻAR FABRYKI PALUSZKÓW BESKIDZKICH I POZYTYWNA REAKCJA SPOŁECZNOŚCI,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'paluszki beskidzkie', 'dawid chęć', 'fabryka paluszków', 'fabryka paluszków beskidzkich', 'hala produkcyjna paluszki', 'dlaczego paluszki są dobre', 'dlaczego hala spłonęła', 'hala z paluszkami', 'kanał zero paluszki', 'kanał zero paluszki beskidzkie', 'kanał zero paluszki hala', 'commentary', 'kanał zero commentary', 'hala płonie', 'paluszki beskidzkie zero']",105993,7500,761,PT9M15S,22,9.25,Evening,2024-07,Thursday,3,People & Blogs
33,NoYV-B3CLS4,2024-07-23 09:22:09,"CPK: PRZEZ 11 LAT POWSTANIE TYLKO JEDNA LINIA KOLEJOWA. ""MASAKRA"" | CENTRALNY PROGRAM KOMUNIKACYJNY","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'cpk', 'zmiany w cpk', 'donald tusk cpk', 'centralny port komunikacyjny', 'jakie zmiany wprwadził tusk w cpk', 'zmiany w cpk tuska', 'co się zmieniło w cpk', 'kolej cpk', 'nowy centralny port komunikacyjny', 'polska kolej', 'polskie lotnictwo', 'pociągi cpk', 'maciej wilk', 'maciej wilk cpk', 'maciej wilk o nowym cpk', 'dlaczego projekt cpk nie ma sensu', 'pkp']",134292,13402,1664,PT13M47S,22,13.78,Morning,2024-07,Tuesday,1,People & Blogs
34,LKlBfXyM7O8,2024-07-24 18:43:36,ZAGADKA ZNIKNIĘCIA JACKA JAWORKA ROZWIĄZANA? BYLIŚMY NA MIEJSCU TRAGEDII,"['kanal zero', 'Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'dawid chęć', 'chęć kanał zero', 'jaworek', 'jaworek jacek', 'jacek jaworek zwłoki', 'jacek jaworek', 'borowice', 'borowcie jaworek', 'jacek jaworek odnaleziony', 'jacek jaworek nagranie', 'jacek jaworek reportaż', 'jaworek kanał zero', 'jacek jaworek kanał zero', 'jacek jaworki znaleziony', 'borowice wieś', 'jaworek borowcie', 'jacek jaworek borowice']",152984,4369,578,PT11M54S,22,11.9,Evening,2024-07,Wednesday,2,People & Blogs
35,a99PxNpHEq8,2024-07-06 08:02:57,DONALD TRUMP - WSZYSTKIE GRZECHY BYŁEGO I PRZYSZŁEGO (?) PREZYDENTA USA,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'joanna pinkwart', 'pinkwart', 'donald trump', 'wybory w usa 2024', 'wybory w usa', 'trump zarzuty', 'donald trump zarzuty', 'trump', 'trump usa', 'usa', 'stany zjednoczone', 'wybory w stanach', 'trump wyrok', 'za co skazany trump', 'za co skazali trump', 'przestępstwa trumpa', 'wyroki donalda trumpa', 'zarzuty donalda trumpa', 'trump donald', 'trump więzienie']",82166,3292,275,PT13M20S,22,13.33,Morning,2024-07,Saturday,5,People & Blogs
36,pmaMznVRy00,2024-07-30 12:15:05,CHRONIŁ PAPIEŻA I AMERYKAŃSKICH PREZYDENTÓW. WYWIAD Z MACIEJEM USTARBOWSKIM,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'maria stepan', 'broń', 'maciej ustarbowski', 'bor', 'biuro ochrony rządu', 'służba ochrony państwa', 'kanał zero sop', 'sop', 'jak działa bor', 'jak działa sop', 'maciej ustarbowski bor', 'maciej ustarbowski zamach', 'kanał zero maciej ustarbowski', 'donald trump', 'donald trump zamach', 'wydarzenie masowe', 'trump kanał zero', 'kanał zero ochrona', 'kanał zero trump']",66335,3233,152,PT14M,22,14.0,Afternoon,2024-07,Tuesday,1,People & Blogs
37,ImsalwxwwwM,2024-07-24 16:15:08,WULGARNE WYSTĄPIENIE MARTY LEMPART PRZED SEJMEM. POSŁANKA DO WICEPREMIERA: “WYP…”,"['kanal zero', 'Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'marta lempart', 'lempart', 'marta lempart sejm', 'lempart aborcja', 'marta lempart aborcja', 'aborcja', 'maria stepan', 'stepan kanał zero', 'commentary', 'lempart kanal zero', 'commentary zero', 'polityka', 'politycy', 'lempart marta', 'marta lempart w sejmie', 'ustawa o aborcji', 'aborcja sejm', 'aborcja zero', 'stepan o lempart', 'aktywistki', 'strajk kobiet', 'aktywiści']",278115,12184,2717,PT9M35S,22,9.58,Afternoon,2024-07,Wednesday,2,People & Blogs
38,xDSpncQVOGA,2024-07-09 14:14:12,"JERZY STUHR NIE ŻYJE. RACZEK I WALKIEWICZ WSPOMINAJĄ JEGO WIELKIE ROLE. ""BYŁ AKTOREM, NIE GWIAZDĄ""","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'jerzy stuhr', 'kanał zero jerzy stuhr', 'osioł ze shreka', 'kiler', 'komisarz ryba', 'kanał zero stuhr', 'jerzy stuhr kanał zero', 'amator', 'amator stuhr', 'jerzy stuhr amator', 'jerzy suthr nie żyje', 'jerzy stuhr śmierć', 'żegnamy jerzego stuhra', 'seksmisja', 'seksmisja jerzy stuhr', 'aktor jerzy stuhr nie żyje', 'jerzy stuhr teatr', 'teatr stuhr warszawa', 'jerzy stuhr nie zyje']",56788,2168,624,PT15M3S,22,15.05,Afternoon,2024-07,Tuesday,1,People & Blogs
39,R4jHYEbzOdE,2024-07-20 09:36:45,STANOWSKI O WYWIADZIE WOJEWÓDZKIEGO ZE SZCZĘSNYM,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'szczęsny', 'wojciech szczęsny', 'szczęsny wojewódzki', 'szczęsny u wojewódzkiego o polityce', 'szczęsny wojewódzki wywiad', 'wojewódzki', 'kuba wojewódzki', 'stanowski wojewódzki', 'stanowski o wojewódzkim', 'wojewódzki kędzierski', 'kędzierski', 'kędzierski szczęsny', 'szczesny', 'stanowski szczęsny', 'szczęsny wywiad', 'stanowski o szczęsnym']",978842,58982,5559,PT18M4S,22,18.07,Morning,2024-07,Saturday,5,People & Blogs
40,HBby-xDXIoo,2024-08-01 16:05:15,"STANOWSKI: BABIARZ PRZYWRÓCONY, INTERWENCJA TUSKA","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'babiarz', 'babiarz igrzyska', 'stanowski babiarz', 'babiarz przywrócony', 'babiarz wraca', 'przemysław babiarz komentuje igrzyska', 'john lennon babiarz', 'babiarz imagine', 'babiarz powraca', 'donald tusk', 'tusk babiarz', 'przemek babiarz wraca', 'tvp', 'tvp sport', 'tvp babiarz', 'tvp przywraca babiarza', 'przemysław babiarz kanał zero', 'kanał zero babiarz']",514419,22911,1832,PT9M4S,22,9.07,Afternoon,2024-08,Thursday,3,People & Blogs
41,NWNdGi7I40o,2024-07-28 18:00:13,"CZY NATO ROBI WSZYSTKO, BY ZAPOBIEC WOJNIE Z ROSJĄ? WYWIAD Z ANNĄ MARIĄ DYNER | ŚWIAT OD ZERA #16","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'arleta bojke', 'świat od zera', 'putin', 'rosja', 'anna maria dymer', 'pism', 'polski instytu spraw międzynarodowych', 'czy wybuchnie wojna', 'kiedy rosja zaatakuje polskę', 'rosja atak na polskę', 'putin zaatakuje polskę', 'arleta bojke świat od zera', 'świat od zera pism', 'anna maria dymer wywiad', 'kanał zero pism', 'kanał zero atak rosji', 'rosja atakuje']",149699,5443,753,PT45M44S,29,45.73,Evening,2024-07,Sunday,6,Nonprofits & Activism
42,NWNdGi7I40o,2024-07-28 18:00:13,"CZY NATO ROBI WSZYSTKO, BY ZAPOBIEC WOJNIE Z ROSJĄ? WYWIAD Z ANNĄ MARIĄ DYNER | ŚWIAT OD ZERA #16","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'arleta bojke', 'świat od zera', 'putin', 'rosja', 'anna maria dymer', 'pism', 'polski instytu spraw międzynarodowych', 'czy wybuchnie wojna', 'kiedy rosja zaatakuje polskę', 'rosja atak na polskę', 'putin zaatakuje polskę', 'arleta bojke świat od zera', 'świat od zera pism', 'anna maria dymer wywiad', 'kanał zero pism', 'kanał zero atak rosji', 'rosja atakuje']",149699,5443,753,PT45M44S,29,45.73,Evening,2024-07,Sunday,6,Nonprofits & Activism
43,mue4k04ul6k,2024-06-29 08:12:54,"MAZUREK & STANOWSKI #22: TRÓJSKOK TUSKA, REJESTRACJA KUR I ZWOLNIONY MAZUREK","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'zero', 'stanowski', 'mazurkek stanowski', 'stanowski mazurek', 'mazurek i stanowski', 'tusk cpk', 'tusk', 'marszałek', 'lewica', 'paulina matysiak', 'polityka', 'politycy', 'ochojska', 'joanna ochojska', 'prawo i sprawiedliwość', 'koalicja obywatelska', 'poznań', 'poznań boisko', 'donald tusk', 'mazurek kanał zero', 'robert mazurek krzysztof stanowski', 'bartłomiej marszałek', 'janusz kowalski', 'kowalski']",614756,27531,2221,PT37M21S,17,37.35,Morning,2024-06,Saturday,5,Sports
44,9MTvaxhDA0c,2024-06-30 11:27:06,WIDZIAŁAM #5 GRANICA POLSKO-BIAŁORUSKA,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'granica', 'kanał zero widziałam', 'widziałam', 'maria wernikowska', 'granica polska', 'granica białoruś', 'straż graniczna', 'żołnierze', 'wojsko', 'kanał zero granica', 'kanał zero wernikowska', 'rosja', 'putin', 'imigranci', 'imigranci granica', 'straż graniczna imigranci', 'polska białoruś straż graniczna', 'grupa granica', 'imigranci polska', 'polska imigrranci']",356908,14538,4067,PT40M35S,17,40.58,Morning,2024-06,Sunday,6,Sports
45,RES3XZSNwek,2024-06-29 18:00:14,"ZERO PRESJI #16: RUCINSKI, SIKORA, POŁAĆ, GAPEK","['kanal zero', 'Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'piotr połać', 'połać', 'figo fagot', 'połać kanał zero', 'gapek', 'gapek kanał zero', 'kamil gapiński', 'zero presji', 'kacper rucinski', 'kacper ruciński kanał zero', 'czarek sikora', 'sikora', 'czarek sikora kanał zero', 'sikora stand up', 'ruciński stand up', 'czarek sikora stand up', 'rucinski sikora', 'kacper ruciński stand up', 'połać piotr', 'połać figo fagot']",136083,3458,416,PT1H15M16S,17,75.27,Evening,2024-06,Saturday,5,Sports
46,RozBMmdeAPo,2024-06-25 08:00:16,"BARSZCZE - SKĄD SIĘ WZIĘŁY, JAK JE ROZPOZNAĆ I JAK UNIKNĄĆ POPARZENIA | GATUNEK ZERO #21","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'gatunek zero', 'polskie rośliny', 'barszcz sosnowskiego', 'barszcz kaukaski', 'barszcz sosnowskiego oparzenie', 'barszcz sosnowskiego jak wygląda', 'barszcz sosnowskiego usuwanie', 'oparzenie barszczem sosnowskiego', 'dariusz dziektarz', 'dziektarz', 'przyroda polska', 'rośliny', 'kwitnięcie roślin', 'barszcz sosnowski', 'dziektarz kanał zero', 'trujące rośliny']",53822,3116,215,PT31M32S,17,31.53,Morning,2024-06,Tuesday,1,Sports
47,WJs4Y2Eh3Y4,2024-07-26 07:49:46,PARYŻ 2024 - ILE MEDALI DLA POLAKÓW? KTO NAJWIĘKSZYM FAWORYTEM? KTO SPRAWI NIESPODZIANKĘ?,"['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'kamil gapiński', 'igrzyska olimpijskie', 'igrzyska olimpijskie 2024', 'io2024', 'ile polacy zdobędą medali na igrzyskach', 'szanse polaków na igrzyskach', 'iga świątek', 'tenis', 'koszykarze', 'siatkarze', 'rzut młotem', 'pływanie', 'wspinaczka', 'ola mirosław', 'kanał zero igrzyska w paryżu', 'Paryż sport', 'sport', 'kanał zero sport', 'commentary', 'gapek sport', 'zero sport']",56582,1982,143,PT13M20S,17,13.33,Morning,2024-07,Friday,4,Sports
48,JoR2Hd4d5yE,2024-07-08 10:14:12,PUMA - NAJLEPSZY WÓZ BOJOWY PIECHOTY NA ŚWIECIE | MILITARNE ZERO #22,"['kanal zero', 'Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'zero', 'stanowski', 'militarne zero', 'jarosław wolski', 'wolski kanał zero', 'militaria', 'wozy bojowe', 'puma', 'wóz bojowy puma', 'wóz bojowy borsuk', 'wóz bojowy bradley', 'uzbrojenie niemiec', 'niemcy', 'armia niemiecka', 'niemiecki pojazd bojowy', 'pojazdy bojwoe', 'bojowy wóz piechoty', 'bojowy wóz piechoty borsuk', 'bojowy woz piechoty', 'bwp', 'uzbrojenie wojska', 'pojazdy wojskowe']",125245,5153,639,PT44M12S,28,44.2,Morning,2024-07,Monday,0,Science & Technology
49,AmvPrx92L4o,2024-07-27 18:00:08,"ZERO PRESJI #20: RUCIŃSKI, SIKORA, GAJDA, HERRING","['Stanowski', 'Krzysztof Stanowski', 'kanał zero', 'kanal zero', 'stanowski kanał', 'Krzysztof stanowski kanał zero', 'stanowski kanał zero', 'kanał', 'zero', 'stanowski', 'kacper ruciński', 'czarek sikora', 'standup', 'stand-up', 'stand up ruciński', 'stand up sikora', 'kanał zero ruciński', 'kanał zero sikora', 'dobra zabawa', 'humor', 'kanał zero śmieszne', 'kanał zero humor', 'kanał zero presji', 'kanał zero zero presji', 'zero presji', 'bartosz gajda', 'olga herring', 'kanał zero olga herring', 'kanał zero bartosz gajda', 'herring']",117055,3099,297,PT1H8M38S,23,68.63,Evening,2024-07,Saturday,5,Comedy
